title	start	end	name	year
Slavery in the Chesapeake Iron Industry, 1716-1865	1716	1865	Ronald Lewis	1974
Thomas Wharton, 1730/31-1784: Merchant in Philadelphia	1730	1730	James Anderson	1977
The League of Nations and Disarmament: National Policies and Concepts of Sovereignty, Security and Peace 1919-1934	1919	1934	Farajollah Ardalan	1980
Hungary under Noble Leadership and Habsburg Rule, 1830-1844, with Emphasis on the Issues of Peasant Liberation and Tax Reform	1830	1844	Edsel Stroup	1986
The Rise of United States-Thai Relations, 1945-1975	1945	1975	Adulyasak Soonthornrojana	1986
The British League of Nations Mandate in Africa, 1919-45	1919	1945	Peter Dumbuya	1991
Industrial League Baseball and Employee Welfare Work, 1910-30	1910	1930	Jeffrey Smith	1991
'Educating Strong Women': Kansas Shapes the Western Home Economics Movement, 1860-1914	1860	1914	Virginia Gunn	1992
The Vanguard of a Regional Infrastructure: Electric Railways of Northeast Ohio, 1884-1932	1884	1932	Stephen Hambley	1994
A History of the Ohio Agricultural Experiment Station, 1882-1992	1882	1992	Christopher Cumo	1995
Years of Transition: American Railroad Labor, 1919-34	1919	1934	Jon Huibregtse	1995
Urban Reform, Politics, and the Working Class: Detroit, Toledo, and Cleveland, 1890-1922	1890	1922	Arthur DeMatteo	1999
Nationalization and Deregulation:  The Creation of Conrail and the Demise of the ICC, 1973-80	1973	1980	Matthew Hiner	2006
Imagining Heaven and Hell: Religion, National Identity, and U.S. Foreign Relations, 1930-53	1930	1953	David  Zietsma	2007
A Community of Letters: A Quaker Woman’s Correspondence and the Making of the American Frontier, 1791-1824	1791	1824	Barbara Wittman	2008
Apples Abound: Farmers, Orchards, and the Cultural Landscapes of Agrarian Reform, 1820-60	1820	1860	John Henris	2009
Netta Taylor and the Divided Ohio Home Front, 1861-65	1861	1865	Lisa Smith	2011
Traces of Empire: Decolonization and the United States in Lebanon, 1941-67	1941	1967	Maurice LaBelle	2012
The Free Negro in Antebellum Louisiana, 1724-1860	1724	1860	Henry Sterkx	1954
Spanish Caribbean and Gulf Defense, 1763-1783	1763	1783	Conwell Anderson	1954
The Negro in Tennessee, 1870-1900	1870	1900	Robert Corlew	1954
Economic Coercion as a Policy of the United States, 1794-1805	1794	1805	W. Glenn  Moore	1960
The Virginia Agricultural and Mechanical College: The Formative Half Century, 1872-1919, of Virginia Polytechnic Institute	1872	1919	John Cochran	1961
The Early Public Career of Santiago Vidaurri, 1855-58	1855	1858	Edward Moseley	1963
A History of the Central American Mission as seen in the Work of Albert Edward Bishop, 1896-1922	1896	1922	Wilkins Winn	1963
Amphibious Campaign of New Orleans, 1814-15	1814	1815	Wilburt Brown	1963
Growth of U. S. Interest in the Isthmian Area, 1816-50	1816	1850	Eugene Huck	1963
The Influence of the Caribbean in British Policy towards Spain, 1782-93	1782	1793	Harral Landry	1963
A History of Direct Primary in Alabama, 1840-1903	1840	1903	Allen Jones	1964
Aviation in the Relations of the United States and Latin America, 1916-29	1916	1929	Wesley Newton	1964
History of Southern Baptist Mission Work in Cuba, 1886-1916	1886	1916	Harold Greer	1965
Presidential Reconstruction in Mississippi, 1865-67: Political and Economic Aspects	1865	1867	William Harris	1965
French Military Medicine during the Revolution, 1792-95	1792	1795	David Vess	1965
Spanish and Russian Rivalry in the North Pacific Regions of the New World, 1760-1812	1760	1812	Anthony Hull	1966
Ten Vermont Towns: Social and Economic Characteristics, 1850-70	1850	1870	Holman Jordan	1966
James Thomas Heflin: United States Senator, 1920-31	1920	1931	Ralph Tanner	1967
The Erosion of Republican Support for Congressional Reconstruction in the House of Representatives, 1871-77: A Roll Call Analysis	1871	1877	John Folmar	1968
United States Arms Control and the Mexican Revolution, 1910-24	1910	1924	Harold Holcombe	1968
United States-Mexican Relations during the Gonzalez Administration, 1880-84	1880	1884	Harold Isaac	1968
Restoration and Innovation: Alabamians Adjust to Defeat, 1865-67	1865	1867	Marjorie Cook	1968
The Mississippi Whigs, 1834-60	1834	1860	David Young	1968
Jackson Justices and the Federal System, 1830-56	1830	1856	George Whatley	1969
Federal Taxes on Cotton, 1862-68	1862	1868	Milton McPherson	1970
A History of the Shelby Iron Company, 1865-81	1865	1881	Robert McKenzie	1971
The Realignment of the European Balance of Power, 1712-18	1712	1718	Mildred Caudle	1972
The Role of the Small Powers in the Development of the Western Bloc at the 1946 Paris Peace Conference: A Study into the Origins of the Cold War	1946	1946	Bertrand Jarvis	1973
Alabama Republicans during Reconstruction: Personal Characteristics, Motivations, and Political Activity of Party Activists, 1867-1880	1867	1880	William Cash	1973
Presidential Reconstruction in Georgia, 1865-67	1865	1867	Westley Busbee	1973
The Making of American Congressional Mavericks: A Contrasting of the Cultural Attitudes of Mavericks and Conformists in the United States House of Representatives, 1836-1860	1836	1860	Johanna Shields	1973
Tennessee Voters during the Second Two Party System, 1836-1860: A Study in Voter Constancy and in Socio-Economic and Demographic Distinctions	1836	1860	Frank Lowrey	1973
The John Forbes Company: Heir to the Florida Indian Trade, 1801-19	1801	1819	David White	1973
Henry Laurens: A Charleston Merchant in the 18th Century, 1747-71	1747	1771	Warner Moore	1974
Indiana Voters during the Second American Party System, 1836-1860: A Study in Social, Economic, and Demographic Distinctions and in Voter Constancy	1836	1860	Kit Carter	1975
A Study of the Influence of Economic, Social and Partisan Characteristics on Secession Sentiment in the South, 1860-61: A Multiple and Partial Correlation Analysis Employing the County as the Unit of Observation	1860	1861	Jerry Oldshue	1975
Laurier vs Chamberlain: Anglo-Canadian Relations, 1896-1905	1896	1905	Kayron McMinn	1977
Mobile, Alabama, 1850-61: Economic, Political, Physical, and Population Characteristics	1850	1861	Alan Thompson	1978
Appeasement: The Ploy that Failed--Henderson, Chamberlain, the Foreign Office, and Anglo-German Relations, 1937-39	1937	1939	Thomas Kelly	1980
The Establishment of a New Freedom' Policy: The Federal Trade Commission 1916-18	1916	1918	Thomas Moore	1980
A Critical History of the Southern Baptist Indian Missionary Movement, 1855-61	1855	1861	Lexie Wiggins	1980
American Attitudes toward the Wartime Resistance in Yugoslavia, 1941-54	1941	1954	Connie Radovanovic	1982
The Medical Activities of the Freedmen's Bureau in Reconstruction Alabama, 1865-68	1865	1868	Linda Hasson	1982
A History of Sumter County, Alabama, through 1886	1886	1886	Louis Smith	1988
Diplomatic Relations between the United States and the Somoza Garcia Regime, 1933-1956	1933	1956	Paul Clark	1988
Young Fuss and Feathers: Winfield Scott's Early Career, 1808-41	1808	1841	Timothy Johnson	1989
A Substantial Property: The Anglo-American Controversy Over the Oregon Territory, 1842-46	1842	1846	Donald Rakestraw	1991
The Alabama National Guard, 1900-20	1900	1920	Ruth Truss	1992
The Life and Times of Jose Canuto Vela: Yucatecan Priest and Patriot (1802-1859)	1802	1859	Lynda Morrison	1993
The Struggle for School Reform in Alabama, 1896-1939	1896	1939	George Prewett	1993
Japanese and Philippine-American Logistics: The Philippine Dilemma, 1935-42	1935	1942	James Birdseye	1994
A Shelter in the Storm: The African-American Church in Birmingham, Alabama, 1815-1963	1815	1963	Wilson Fallin	1995
Heavenly Influence: An Examination of the Economic and Cultural Influence of Pan American-Grace Airways on Peru, 1928-1949	1928	1949	Peter Gushue	1997
Without Some Risk: A Reassessment of the British Blockade of the United States, 1812-1815	1812	1815	Wade Dudley	1999
Mme. Chiang Kai-Shek and Her Two Worlds, 1908-1949	1908	1949	Yuwu Song	1999
From Amateurs to Veterans: War, Learning, and Memory in the II Corps, Army of the Potomac, 1861-93	1861	1893	Lawrence Kreiser	2001
Forging the Sword: Tactical Air Power and the U.S. Military Experience, 1950-61	1950	1961	Paul Gelpi	2002
U.S. Military and Arms Control, 1963-72	1963	1972	James Isbell	2002
'A Democratic and Republican Religion': Catholics in American Public Life, 1776-1895	1776	1895	Stephen Klugewicz	2002
Monitor Madness: Union Ironclad Construction at New York City, 1862-64	1862	1864	Williard West	2003
The Corps of Engineers and National Defense in Antebellum America, 1815-60	1815	1860	Mark Smith	2004
Promoting the South: Tourism and Southern Identity, 1840-1920	1840	1920	Rebecca McIntyre	2004
Silent Partners: An Examination of the Filibustering Activities of the Cuban Revolutionary Party, 1895-1998	1895	1998	Thomas Jennings	2004
Race over Rights: The Resistance to Public School Desegregation in Little Rock, Arkansas, and Beyond, 1954-60	1954	1960	Frances Lisa Baer	2005
Foreshadowing of Empire: Ulysses S. Grant and Hamilton Fish's Caribbean Policy, 1869-77	1869	1877	Stephen McCullough	2007
None More Meritorious: African Americans and the Peninsula Campaign of 1862	1862	1862	Glenn Brasher	2007
Modernity and Technological Adaptation in the U.S. Army, 1918-45	1918	1945	Charles Clark	2007
'In Hot Blood': White-on-White Lynching and the Social Construction of Whiteness in the American South, 1889-1910	1889	1910	John Ratliff	2007
A Friendly Salute: The President-Little Belt Affair and the Coming of the War of 1812	1812	1812	Jonathon Hooks	2009
'So Much for the Revolution': Civil-Military Relations, Gender, and Race in Occupied North Alabama, 1862-66	1862	1866	Joseph Danielson	2009
The Realpolitick of Anglo-American Relations, 1914-17	1914	1917	Michael Floyd	2010
Creating a 'Different Citizen': The Federal Development of Alabama's Tennessee Valley, 1916-61	1916	1961	Matthew Downs	2010
Shaggin' in the Sands of the Grand-Strand: The Rise of Tourism in Myrtle Beach, 1954-89	1954	1989	Richard Hourigan	2010
A Legacy of Care: Hesse and the Alice Frauenverein, 1867-1918	1867	1918	Kara Smith	2010
New York's Revolutionary Committees of Safety, 1775-77	1775	1777	Colin Williams	2012
'Sea League of all the Britons': Race, Identity, and Imperial Defense, 1899-1914	1899	1914	John Mitcham	2012
The British Protestant Missions on the Kenya Coast and Highlands, 1873-1929	1873	1929	Arnold Temu	1967
The Canadian Northern Railway: Agent of Growth, 1896-1911	1896	1911	Theodore Regehr	1967
The Urban Frontier: A Western Case Study, Cheyenne, Wyoming, 1867-1887	1867	1887	Gilbert Stelter	1968
William Pearce and Federal Government Activity in Western Canada 1882-1904	1882	1904	EAlyn Mitchner	1971
Liang Ch'i-Ch'ao (1873-1929): A Political Study	1873	1929	Chen-kuan Chuang	1971
Eugen Schiffer: A Study in German Liberalism, 1904-1924	1904	1924	John Tobias	1971
German Policy toward China and the Chinese Revolution, 1919-1931, with Special Reference to the Beginnings of Sino-German Military Occupation	1919	1931	G. Allen Burden	1972
Organized Labour in Saskatchewan: The TLC Years, 1905-1945	1905	1945	Walter Cherwinski	1972
Anglo-American Relations and the Geneva Naval Disarmament Conference of 1927	1927	1927	Michael Brode	1972
The Candian West and the Ranching Frontier, 1875-1922	1875	1922	David Breen	1972
The Country-born in the Red River Settlement: 1820-50	1820	1850	John Foster	1973
Politics in Brandon City, 1899-1949	1899	1949	Walter Clark	1976
Kaunitz and the Reforms of the CoRegency of Maria Theresia and Joseph II, 1765-1780	1765	1780	Franz Szabo	1976
A Political History of Saskatchewan, 1905-1929	1905	1929	James Brennan	1976
Anglo-Australian Relations: A Critique of the Foreign Policy of William Morris Hughes, Prime Minister of Australia, 1915-1923	1915	1923	Peter Spartalis	1977
British Policy and Settler Politics in Northern Rhodesia 1924-1945, with Special Reference to the Issue of Amalgamation with Southern Rhodesia	1924	1945	Sikhumbuzo Maqubela	1977
The War of Movement on the Western Front, August-November, 1914: A Study in Coalition Warfare	1914	1914	Roy Prete	1979
Sex Crimes in Western Canada, 1890-1920	1890	1920	Terry Chapman	1984
The Canadian Criminal Code 1892: A Comparative Study in Codification	1892	1892	Desmond Brown	1986
These Legal Gentlemen: Becoming Prominent in Manitoba, 1870-1900	1870	1900	Richard Willie	1989
Francis Hincks and the Politics of Interest, 1831-1854	1831	1854	George Davison	1989
Cooperation and Confrontation: Formation of the Second United Front between the CCP and the GMD, 1931-1941	1931	1941	Xianguang Dai	1991
Out of the Shadows: Women and Politics in the French Revolution, 1789-1795	1789	1795	Edith Roessler	1991
The War for Men's Minds: The Canadian Perspective of Foreign Policy in Asia, 1945-1957	1945	1957	Ernest Levos	1991
Quebec: The Making of an Imperial Mercantile Community, 1760-1768	1760	1768	Linda Kerr	1992
Major Douglas and Alberta Social Credit Ideology, 1932-1948	1932	1948	Robert Hesketh	1993
