title	start	end	name	year
The Rise of United States-Thai Relations, 1945-1975	1945	1975	Adulyasak Soonthornrojana	1986
Years of Transition: American Railroad Labor, 1919-34	1919	1934	Jon Huibregtse	1995
A Community of Letters: A Quaker Woman’s Correspondence and the Making of the American Frontier, 1791-1824	1791	1824	Barbara Wittman	2008
Traces of Empire: Decolonization and the United States in Lebanon, 1941-67	1941	1967	Maurice LaBelle	2012
Economic Coercion as a Policy of the United States, 1794-1805	1794	1805	W. Glenn  Moore	1960
A History of the Central American Mission as seen in the Work of Albert Edward Bishop, 1896-1922	1896	1922	Wilkins Winn	1963
Aviation in the Relations of the United States and Latin America, 1916-29	1916	1929	Wesley Newton	1964
Presidential Reconstruction in Mississippi, 1865-67: Political and Economic Aspects	1865	1867	William Harris	1965
James Thomas Heflin: United States Senator, 1920-31	1920	1931	Ralph Tanner	1967
The Erosion of Republican Support for Congressional Reconstruction in the House of Representatives, 1871-77: A Roll Call Analysis	1871	1877	John Folmar	1968
United States Arms Control and the Mexican Revolution, 1910-24	1910	1924	Harold Holcombe	1968
United States-Mexican Relations during the Gonzalez Administration, 1880-84	1880	1884	Harold Isaac	1968
Alabama Republicans during Reconstruction: Personal Characteristics, Motivations, and Political Activity of Party Activists, 1867-1880	1867	1880	William Cash	1973
Presidential Reconstruction in Georgia, 1865-67	1865	1867	Westley Busbee	1973
The Making of American Congressional Mavericks: A Contrasting of the Cultural Attitudes of Mavericks and Conformists in the United States House of Representatives, 1836-1860	1836	1860	Johanna Shields	1973
Indiana Voters during the Second American Party System, 1836-1860: A Study in Social, Economic, and Demographic Distinctions and in Voter Constancy	1836	1860	Kit Carter	1975
American Attitudes toward the Wartime Resistance in Yugoslavia, 1941-54	1941	1954	Connie Radovanovic	1982
The Medical Activities of the Freedmen's Bureau in Reconstruction Alabama, 1865-68	1865	1868	Linda Hasson	1982
Diplomatic Relations between the United States and the Somoza Garcia Regime, 1933-1956	1933	1956	Paul Clark	1988
A Substantial Property: The Anglo-American Controversy Over the Oregon Territory, 1842-46	1842	1846	Donald Rakestraw	1991
Japanese and Philippine-American Logistics: The Philippine Dilemma, 1935-42	1935	1942	James Birdseye	1994
A Shelter in the Storm: The African-American Church in Birmingham, Alabama, 1815-1963	1815	1963	Wilson Fallin	1995
Heavenly Influence: An Examination of the Economic and Cultural Influence of Pan American-Grace Airways on Peru, 1928-1949	1928	1949	Peter Gushue	1997
Without Some Risk: A Reassessment of the British Blockade of the United States, 1812-1815	1812	1815	Wade Dudley	1999
'A Democratic and Republican Religion': Catholics in American Public Life, 1776-1895	1776	1895	Stephen Klugewicz	2002
The Corps of Engineers and National Defense in Antebellum America, 1815-60	1815	1860	Mark Smith	2004
None More Meritorious: African Americans and the Peninsula Campaign of 1862	1862	1862	Glenn Brasher	2007
'In Hot Blood': White-on-White Lynching and the Social Construction of Whiteness in the American South, 1889-1910	1889	1910	John Ratliff	2007
The Realpolitick of Anglo-American Relations, 1914-17	1914	1917	Michael Floyd	2010
Anglo-American Relations and the Geneva Naval Disarmament Conference of 1927	1927	1927	Michael Brode	1972
Imperial Crossroad: The Influence of the Far East on Anglo-American Relations, 1933-1939	1933	1939	Gregory Kennedy	1998
Space Propaganda 'For All Mankind': Soviet and American Responses to the Cold War, 1957-77	1957	1977	Trevor Rockwell	2012
Public Opinion in Great Britain on the American Civil War, 1861-65, as Shown in the London Times	1861	1865	Sarah Wallace	1925
British Travelers in the United States, 1835–70	1835	1870	Spencer Reed	1931
A History of the American Automobile Industry, 1893-1931	1893	1931	Sanfjord Ten	1934
Certain Aspects of German Public Opinion relative to American Neu trality, 1914–17	1914	1917	Reuben Steinmeyer	1935
French Travelers in America, 1775-1840: A Study of Their Observations	1775	1840	Genevieve Hubbard	1936
Some Aspects of British Press Opinion toward the United States, 1914–17	1914	1917	Merlin Nipe	1937
Commercial Relations be tween the Kingdom of Sardinia and the United States of America, 1820–48	1820	1848	Albert Cendebien	1951
Land Reform and Resettlement in Germany: A Study of the Post-War Program for Rural Reconstruction, 1945–50	1945	1950	Harold Lewis	1952
John Watson Foster: United States Minister to Mexico, 1873–80	1873	1880	Chester Kaiser	1954
New Party Politics in the New Deal Era: A Historical Study of Four Attempts to Form a New National Political Party in the United States, 1929–38	1929	1938	Donald McCoy	1954
A History of the Division of Higher Education, United States Office of Education, from Its Creation in 1911 until the Establishment of the Department of Health, Education, and Welfare in 1953	1953	1953	Richard Lykes	1960
Scottish Common Sens in America, 1768-1850: An Evaluation of It Influence	1768	1850	Richard Petersen	1963
The Jewish Question in American-Russian Relations, 1875-1917	1875	1917	Areh Yodfat	1963
The Prisoner of War in the United States during the War of 1812	1812	1812	Anthony Dietz	1964
Return to Dollar Diplomacy? American Business Reaction to the Eisenhower Foreign Aid Program, 1953-61	1953	1961	Thomas DiBacco	1965
A History of American Diplomacy at the Paris Peace Conference of 1898	1898	1898	James Murphy	1965
United States Civil Administration of the Ryukyu Islands, 1950-1960	1950	1960	Robert Hewett	1966
John Stuart Mill in America: The Early Impact, 1843-1873	1843	1873	Evelyn Pugh	1966
The New Deal Treasury Department Art Programs and the American Artist, 1933-43	1933	1943	Belisario Contreras	1967
The Four-Power Treaty of 1921 and the American National Interest 	1921	1921	Sumitra Rattan	1967
Relations between Brazil and the United States, 1815-1825: With Special Reference to the Revolutions of 1817 and 1824	1817	1824	Mary Kahler	1968
Religion and the Rise of the University: A Study of the Secularization of American Higher Education, 1870-1910	1870	1910	Earl Brill	1969
Pre-Millennialism in America, 1865-1918, with Special Reference to Attitudes toward Social Reform	1865	1918	Paul Wilt	1970
The Council of State and Spanish America, 1814-1820	1814	1820	Enoch Resnick	1970
The South American Commission to the Three Americas Movement: The Politics of Pan Americanism, 1884-90	1884	1890	James Vivian	1971
The Movement for a National Archives of the United States, 1906-1926	1906	1926	Victor Gondos	1972
The Impact of the French 'Challenge' in the Isthmus of Panama on the United States' Expansionism in the Caribbean, 1867-81	1867	1881	Stanley Thompson	1974
American Reformers and the Mexican Revolution: Progressives and Woodrow Wilson's Policy in Mexico, 1913-17	1913	1917	Tommie Sessions	1974
For the Birds: Backgrounds of the Anglo-American Bird Treaty of 1916	1916	1916	Floyd Murdoch	1975
Squatter City: The Construction of a New Community in the American West, 1854-1861	1854	1861	Rita Napier	1976
Americans Import Merit: Origins of the United States Civil Service System and the Influence of the British Model, 1865-1886	1865	1886	Richard Titlow	1977
Strangers in a Strange Land: Five Russian Radicals Visit the United States, 1890-1908	1890	1908	Jane Good	1979
The Nonfraternal Association: Anglo-American Relations and the Breakdown of the Grand Alliance, 1945-47	1945	1947	Wayne Knight	1979
The Founding Fars and the Future of American Foreign Policy: Unity and Disunity, 1783-88	1783	1788	Thomas Jarvis	1980
Images of Sickness and Health in American Medical Though? 1776-1800 and 1835-65	1776	1865	Mary Wylie	1981
Prison Reformers and Penitential Publicists in France, England, and the United States, 1774-1847 (Punishments, Crime, Humanitarianism, Criminology) 	1774	1847	Robert Norris	1985
Ideology and American Propaganda: Psychological Warfare Campaign Against Nazi Germany, 1941-45	1941	1945	Clayton Laurie	1990
Good Life in the Country: Rural Households and the American Pie, 1900-30	1900	1930	Sarah Larson	1992
Good Americans: The Peekskill Riots of 1949	1949	1949	Joseph Walwik	1994
Converting America: Three Community Efforts to End the Cold War, 1956-73	1956	1973	R. Allen Smith	1995
Red Feminism: American Communism and the Women's Rights Tradition, 1919-56	1919	1956	Linn Shapiro	1996
Searching for Allies: The United States and Latin American Labor, 1945-51	1945	1951	Christopher Welch	1998
Race, Religion, and Civilization: The United States and Japan, 1868-1905	1868	1905	Joseph Henning	1998
'Strangers to Each Other': The American Encounter with Mexico, 1877-1910	1877	1910	Janice Jayes	1998
Cold War at Sea: The Maritime Confrontation on and over the High Seas between the United States and the Soviet Union, 1945-89	1945	1989	David Winkler	1999
The Quality of Mercy: Organized Animal Protection in the United States, 1866-1930	1866	1930	Bernard Unti	2002
Mermaids and Perpetual Motion: A Cultural History of Scientific Hoaxes in the United States, 1835-1910	1835	1910	Elizabeth Stewart	2003
Keeping House: Irish and Irish-American Women in the District of Columbia, 1850-90	1850	1890	Jennifer Altenhofel	2004
Malingering: Representations of Feigned Disease in American History, 1800-1920	1800	1920	Heidi Hackford	2004
Beyond the Borders: Radicalized Evangelical Missionaries in Central America, 1950s-80s	1950	1950	Rodney Coeller	2012
Das Freie Wort? The Structuring of East and West German Political Culture through the American and Soviet Occupation Press, 1945-49	1945	1949	Robert Williams	2013
The Caudillo and the Good Neighbor: United States-Carías Relations, 1923-49	1923	1949	Adam Fenner	2013
Confederate Nationalism in Georgia, Louisiana, and Virginia during the American Civil War, 1861-1965	1861	1965	Lynette Garrett	2013
The Politics of Federation in Central America, 1885-1921	1885	1921	Vincent Peloso	1969
Mexican Petroleum and United States-Mexico Relations, 1919-23	1919	1923	Donald Baldridge	1971
Hiram W. Johnson and American Foreign Policy, 1917-41	1917	1941	Howard DeWitt	1972
America's Athletic Missionaries: The Olympic Games and the Creation of a National Culture, 1896-1936	1896	1936	Mark Dyreson	1989
Civil war and Reconstruction in the Yazoo Mississippi Delta, 1863-75	1863	1875	Lee Williams	1992
'No More Interference': The Response of Chinese Intellectuals to United States China Policy, 1945-50	1945	1950	Hong Zhang	1996
Shades of Grey: The Euthanasia Controversy and the Rights of the Conscious and Rational Terminally Ill Adult Patient as Seen in Popular American Magazines, 1896-1976	1896	1976	Gail Wallen	1996
Fighting the Fascist Option in the Great Depression: Raymond Swing, Dale Carnegie and the Cultural History of the Specter of Fascism in the 1930s United States	1930	1930	John Krueckeberg	1997
