title	start	end	name	year
A Study of the Influence of Economic, Social and Partisan Characteristics on Secession Sentiment in the South, 1860-61: A Multiple and Partial Correlation Analysis Employing the County as the Unit of Observation	1860	1861	Jerry Oldshue	1975
Mexican Films: A General History	0	0	Carlos Mora	1978
'Preach the Gospel unto Every Creature': Jehovah's Witnesses, Alabama, and the U.S. Supreme Court	0	0	Merlin Newton	1992
The Struggle for School Reform in Alabama, 1896-1939	1896	1939	George Prewett	1993
Liberty, Tradition, and the Good Society: Antebellum Southern Conservatism	0	0	Adam Tate	2001
'Town among the Trees': Paternalism, Class, and Civil Rights in Anniston, Alabama, 1872 to Present	187	187	Gary Sprayberry	2003
'In Hot Blood': White-on-White Lynching and the Social Construction of Whiteness in the American South, 1889-1910	1889	1910	John Ratliff	2007
Eugen Schiffer: A Study in German Liberalism, 1904-1924	1904	1924	John Tobias	1971
Aldous Huxley on Drugs, Mysticism and the Humanization of Man	0	0	Lawrence Davidson	1976
These Legal Gentlemen: Becoming Prominent in Manitoba, 1870-1900	1870	1900	Richard Willie	1989
'Our Tomb or Salvation?' The History of Ukrainian Immigration into Argentina in the Interwar Period, 1920-1939	1920	1939	Serge Cipko	1995
The Poetry of Death: An Examination of the Language and Concepts of Death Articulated in the Iliad	0	0	Lisa Micheelsen	2003
Islam and Arabism in Zanzibar: The Omani Elite, the Arab World, and the Making of an Identity, 1880s-1930s	1880	1880	Amal Ghazal	2005
Born in the Text: The Bayrouk of Southern Morocco, A Study in History and Identity	0	0	Mohamed Mohamed	2005
Food, Cultural Mixing, and the Making of Identities on the Swahili Coast	0	0	Louise Rolingher	2009
Colonial Government under the United States Constitution	0	0	Dedimo Fonbuena	1927
French Travelers in America, 1775-1840: A Study of Their Observations	1775	1840	Genevieve Hubbard	1936
Commercial Relations be tween the Kingdom of Sardinia and the United States of America, 1820–48	1820	1848	Albert Cendebien	1951
New Party Politics in the New Deal Era: A Historical Study of Four Attempts to Form a New National Political Party in the United States, 1929–38	1929	1938	Donald McCoy	1954
Economic Aspects of Negro Colonization during the Civil War.	0	0	Tinsley Spraggins	1957
United States Civil Administration of the Ryukyu Islands, 1950-1960	1950	1960	Robert Hewett	1966
Onuc (United Nations in the Congo) and International Politics	0	0	Michel Struelens	1968
The Iron Comandante: Major General Henry Tureman Allen, 1859-1930	1859	1930	Heath Twichell	1971
American Reformers and the Mexican Revolution: Progressives and Woodrow Wilson's Policy in Mexico, 1913-17	1913	1917	Tommie Sessions	1974
Good Life in the Country: Rural Households and the American Pie, 1900-30	1900	1930	Sarah Larson	1992
The Sources of American Conduct in International Affairs	0	0	Robert Kagan	2005
The Temperance Physicians: Developing Concepts of Addiction	0	0	Katherine  Nelson	2006
Seliger Bernhard Lichtenberg: In His Own Sphere	0	0	Brenda Gaydosh	2010
A Useful Mythology: Marijuana Prohibition in the 1930s	1930	1930	Keith Halderman	2010
Selling Aviation: The Meaning of Air Shows in America	0	0	Robert Verbsky	2013
Cattle Politics in Arizona, 1886-1941	1886	1941	James Wilson	1967
Chinese, Missionary and International Efforts To End the Use of Opium in China, 1890-1916	1890	1916	Kathleen Lodwick	1976
Abd al-Nasir's Egypt and the Soviet Union: An Egyptian View, 1952-70--The Impact of Differences between Arab Socialist and Marxist-Leninist Ideologies	1952	1970	Mahmoud Kabbara	1981
General William Selby, Frontier Soldier, 1800-89	1800	1889	George Adams	1983
Jacome's Department Store: Business and Culture in Tucson, Arizona, 1896-1980	1896	1980	June Webb-Vignery	1985
Battering the Bishops. 'Episcopus Exclusus' and the German City: A Critical Chapter in Late Medieval and Early Modern History	0	0	Jeff Tyler	1995
Long May Their Legend Survive: Memory and Authenticity in Deadwood, South Dakota, Tombstone, Arizona, and Dodge City, Kansas	0	0	Kevin Britz	1999
The Anticipation of Nietzschean Themes in the Writings of Alexander Herzen	0	0	William Weidemaier	1975
Mark Twain and Edgar Allan Poe: The Development of the Grotesque Absurd	0	0	Susan Kennedy	1978
From Proselytizing to Social Reform: Three Generations fo French Female Teaching Congregations, 1600-1720	1600	1720	Judith Taylor	1980
Challenge from the Left: The Socialist Press and the Progressive Reform Movement, 1900-17	1900	1917	Janice Miller	1989
Arizona and the Politics of Statehood, 1889-1912	1889	1912	Mark Pry	1995
Traveling the Southwest: Creation, Imagination, and Invention	0	0	Scott Zeman	1998
'We Have Got to Lead Them in the Ways of Peace': The Catholic Peace Fellowship in the Vietnam Era	0	0	Penelope Moon	2001
Indian Alliances in the Southwest, 1300-1706	1300	1706	William Carter	2002
Mormon-Indian Relations in Deseret: Intermarriage and Indenture, 1847-77	1847	1877	Richard Kitchen	2002
American Indian Movement Survival Schools in Minneapolis and St. Paul, 1968-2002	1968	2002	Julie Davis	2004
The Cherokee Nation from Indian Territory to Statehood and the Impact of Allotment: One Family's Story	0	0	Kathryn Rolison	2004
Polishing the Jewel: The Arizona Republic and the Growth and Development of Phoenix, 1920-58	1920	1958	Michael Casavantes	2009
Towards Democratization: Boston's Cultural Landscapes, 1820-2000	1820	2000	Patricia Roeser	2010
Long and Winding Roads: Conflict and Place on the Colorado Plateau	0	0	Jedediah Rogers	2011
Women in the White House: Gender, Politics, and the Role of the First Lady, 1877-1920	1877	1920	Jill Horohoe	2011
The Struggle for Chattanooga, 1862-1863	1862	1863	Michael Hughes	1991
The Influence of Mainline Protestant Religions on American Foreign Policy	0	0	Randall Austin	1997
Darby's Rangers, America's Special Forces in World War II: Their Personal Experiences	0	0	Mary Landreth	2000
From Swamp Forest to Cotton: Three States Lumber and the Development of Burdette, Arkansas, in the Early 20th Century	0	0	Jami Forrester	2011
Bandits, Terrorists, and Revolutionaries: The Breakdown of Civil Authority in the Imperial Ferghana Valley, 1905-14	1905	1914	Yulia Uryadova	2012
Colonel Alfred Elias Buck: Carpetbagger in Alabama and Georgia	0	0	Shyam Bhurtel	1981
'Rousing the People of the Land': Home Demonostration Work in the Deep South, 1914-50	1914	1950	Lynne Rieff	1995
Creating the Land of the Sky: Tourism and Society in Western North Carolina	0	0	Richard Starnes	1999
'I Ain't Got No Home in This World': The Rise and Fall of the Southern Tenant Farmers' Union in Arkansas	0	0	James Ross	2005
Political Party Differences in Program and Legislative Performance 1952-62	1952	1962	Thomas Byers	1971
The United States Congress and the International Court of Justice: A Study of American Attitudes toward Compulsory Jurisdiction	0	0	Bruce McCrone	1975
Vance Hartke: A Political Biography	0	0	Nancy Meyer	1987
The Life of Rollin 'Doc' Bunch, the Boss of Middletown	0	0	Thomas Buchanan	1993
Robert Howard Lord and the Settlement of the Polish Boundaries after World War I	0	0	Patricia Goler	1957
Americans and Englishmen through Each Other's Eyes, 1850-60: A Study of National Spirit	1850	1860	Therese Donovan	1963
An Historical Analysis of American Educational Thought on the Treatment of Controversial Issues in the Classroom	0	0	Mary Lucitt	1963
Population Movements in England, 1650-1812: A Family Reconstitution Study of Three 18th-Century Lancashire Parishes	1650	1812	Donald Krier	1969
Abolition in Silver Slippers: A Biography of Edmund Quincy	0	0	Robert Sparks	1978
Abraham Lincoln and the New England Press, 1858-60	1858	1860	William Hanna	1980
The Educational Philosophy of the Encyclopedists	0	0	Gerald Neary	1983
The Acropolis of Hellenism In America: First Generation Greeks In Lowell, Massachusetts, 1895-1922	1895	1922	Genevieve Robinson	1986
French Roots of a Women's Movement: The Sisters of St. Joseph, 1650-1836	1650	1836	Patricia Byrne	1986
An Analysis of the Dartmouth College Case and Its Impact on the Founding of American Colleges and Universities, 1819-1839	1819	1839	Mary Beach	1990
The Prussian Administrative Response to the first Cholera Epidemic in Prussia in 1831	1831	1831	Richard Ross	1991
A Place in Time: The Shaping of City Space in Bridgeport, Connecticut 1890-1919	1890	1919	Robert Macieski	1994
Episcopal Landholding, Lordship, and Culture in Late Anglo-Saxon England	0	0	Mary Giandrea	1997
